,conv_filters1,conv_kernelSize1,conv_strides1,conv_activation1,pool_type1,pool_size1,pool_strides1,pool_momentum1,drop_value1,dense_num
0,10.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.0,100.0
1,80.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.0,100.0
2,10.0,10.0,1.0,1.0,1.0,2.0,1.0,0.5,0.0,100.0
3,80.0,10.0,1.0,1.0,1.0,2.0,1.0,0.5,0.0,100.0
4,10.0,2.0,10.0,1.0,1.0,2.0,1.0,0.5,0.0,100.0
5,80.0,2.0,10.0,1.0,1.0,2.0,1.0,0.5,0.0,100.0
6,10.0,10.0,10.0,1.0,1.0,2.0,1.0,0.5,0.0,100.0
7,80.0,10.0,10.0,1.0,1.0,2.0,1.0,0.5,0.0,100.0
8,10.0,2.0,1.0,3.0,1.0,2.0,1.0,0.5,0.0,100.0
9,80.0,2.0,1.0,3.0,1.0,2.0,1.0,0.5,0.0,100.0
10,10.0,10.0,1.0,3.0,1.0,2.0,1.0,0.5,0.0,100.0
11,80.0,10.0,1.0,3.0,1.0,2.0,1.0,0.5,0.0,100.0
12,10.0,2.0,10.0,3.0,1.0,2.0,1.0,0.5,0.0,100.0
13,80.0,2.0,10.0,3.0,1.0,2.0,1.0,0.5,0.0,100.0
14,10.0,10.0,10.0,3.0,1.0,2.0,1.0,0.5,0.0,100.0
15,80.0,10.0,10.0,3.0,1.0,2.0,1.0,0.5,0.0,100.0
16,10.0,2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.0,100.0
17,80.0,2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.0,100.0
18,10.0,10.0,1.0,1.0,3.0,2.0,1.0,0.5,0.0,100.0
19,80.0,10.0,1.0,1.0,3.0,2.0,1.0,0.5,0.0,100.0
20,10.0,2.0,10.0,1.0,3.0,2.0,1.0,0.5,0.0,100.0
21,80.0,2.0,10.0,1.0,3.0,2.0,1.0,0.5,0.0,100.0
22,10.0,10.0,10.0,1.0,3.0,2.0,1.0,0.5,0.0,100.0
23,80.0,10.0,10.0,1.0,3.0,2.0,1.0,0.5,0.0,100.0
24,10.0,2.0,1.0,3.0,3.0,2.0,1.0,0.5,0.0,100.0
25,80.0,2.0,1.0,3.0,3.0,2.0,1.0,0.5,0.0,100.0
26,10.0,10.0,1.0,3.0,3.0,2.0,1.0,0.5,0.0,100.0
27,80.0,10.0,1.0,3.0,3.0,2.0,1.0,0.5,0.0,100.0
28,10.0,2.0,10.0,3.0,3.0,2.0,1.0,0.5,0.0,100.0
29,80.0,2.0,10.0,3.0,3.0,2.0,1.0,0.5,0.0,100.0
30,10.0,10.0,10.0,3.0,3.0,2.0,1.0,0.5,0.0,100.0
31,80.0,10.0,10.0,3.0,3.0,2.0,1.0,0.5,0.0,100.0
32,10.0,2.0,1.0,1.0,1.0,10.0,1.0,0.5,0.0,100.0
33,80.0,2.0,1.0,1.0,1.0,10.0,1.0,0.5,0.0,100.0
34,10.0,10.0,1.0,1.0,1.0,10.0,1.0,0.5,0.0,100.0
35,80.0,10.0,1.0,1.0,1.0,10.0,1.0,0.5,0.0,100.0
36,10.0,2.0,10.0,1.0,1.0,10.0,1.0,0.5,0.0,100.0
37,80.0,2.0,10.0,1.0,1.0,10.0,1.0,0.5,0.0,100.0
38,10.0,10.0,10.0,1.0,1.0,10.0,1.0,0.5,0.0,100.0
39,80.0,10.0,10.0,1.0,1.0,10.0,1.0,0.5,0.0,100.0
40,10.0,2.0,1.0,3.0,1.0,10.0,1.0,0.5,0.0,100.0
41,80.0,2.0,1.0,3.0,1.0,10.0,1.0,0.5,0.0,100.0
42,10.0,10.0,1.0,3.0,1.0,10.0,1.0,0.5,0.0,100.0
43,80.0,10.0,1.0,3.0,1.0,10.0,1.0,0.5,0.0,100.0
44,10.0,2.0,10.0,3.0,1.0,10.0,1.0,0.5,0.0,100.0
45,80.0,2.0,10.0,3.0,1.0,10.0,1.0,0.5,0.0,100.0
46,10.0,10.0,10.0,3.0,1.0,10.0,1.0,0.5,0.0,100.0
47,80.0,10.0,10.0,3.0,1.0,10.0,1.0,0.5,0.0,100.0
48,10.0,2.0,1.0,1.0,3.0,10.0,1.0,0.5,0.0,100.0
49,80.0,2.0,1.0,1.0,3.0,10.0,1.0,0.5,0.0,100.0
50,10.0,10.0,1.0,1.0,3.0,10.0,1.0,0.5,0.0,100.0
51,80.0,10.0,1.0,1.0,3.0,10.0,1.0,0.5,0.0,100.0
52,10.0,2.0,10.0,1.0,3.0,10.0,1.0,0.5,0.0,100.0
53,80.0,2.0,10.0,1.0,3.0,10.0,1.0,0.5,0.0,100.0
54,10.0,10.0,10.0,1.0,3.0,10.0,1.0,0.5,0.0,100.0
55,80.0,10.0,10.0,1.0,3.0,10.0,1.0,0.5,0.0,100.0
56,10.0,2.0,1.0,3.0,3.0,10.0,1.0,0.5,0.0,100.0
57,80.0,2.0,1.0,3.0,3.0,10.0,1.0,0.5,0.0,100.0
58,10.0,10.0,1.0,3.0,3.0,10.0,1.0,0.5,0.0,100.0
59,80.0,10.0,1.0,3.0,3.0,10.0,1.0,0.5,0.0,100.0
60,10.0,2.0,10.0,3.0,3.0,10.0,1.0,0.5,0.0,100.0
61,80.0,2.0,10.0,3.0,3.0,10.0,1.0,0.5,0.0,100.0
62,10.0,10.0,10.0,3.0,3.0,10.0,1.0,0.5,0.0,100.0
63,80.0,10.0,10.0,3.0,3.0,10.0,1.0,0.5,0.0,100.0
64,10.0,2.0,1.0,1.0,1.0,2.0,10.0,0.5,0.0,100.0
65,80.0,2.0,1.0,1.0,1.0,2.0,10.0,0.5,0.0,100.0
66,10.0,10.0,1.0,1.0,1.0,2.0,10.0,0.5,0.0,100.0
67,80.0,10.0,1.0,1.0,1.0,2.0,10.0,0.5,0.0,100.0
68,10.0,2.0,10.0,1.0,1.0,2.0,10.0,0.5,0.0,100.0
69,80.0,2.0,10.0,1.0,1.0,2.0,10.0,0.5,0.0,100.0
70,10.0,10.0,10.0,1.0,1.0,2.0,10.0,0.5,0.0,100.0
71,80.0,10.0,10.0,1.0,1.0,2.0,10.0,0.5,0.0,100.0
72,10.0,2.0,1.0,3.0,1.0,2.0,10.0,0.5,0.0,100.0
73,80.0,2.0,1.0,3.0,1.0,2.0,10.0,0.5,0.0,100.0
74,10.0,10.0,1.0,3.0,1.0,2.0,10.0,0.5,0.0,100.0
75,80.0,10.0,1.0,3.0,1.0,2.0,10.0,0.5,0.0,100.0
76,10.0,2.0,10.0,3.0,1.0,2.0,10.0,0.5,0.0,100.0
77,80.0,2.0,10.0,3.0,1.0,2.0,10.0,0.5,0.0,100.0
78,10.0,10.0,10.0,3.0,1.0,2.0,10.0,0.5,0.0,100.0
79,80.0,10.0,10.0,3.0,1.0,2.0,10.0,0.5,0.0,100.0
80,10.0,2.0,1.0,1.0,3.0,2.0,10.0,0.5,0.0,100.0
81,80.0,2.0,1.0,1.0,3.0,2.0,10.0,0.5,0.0,100.0
82,10.0,10.0,1.0,1.0,3.0,2.0,10.0,0.5,0.0,100.0
83,80.0,10.0,1.0,1.0,3.0,2.0,10.0,0.5,0.0,100.0
84,10.0,2.0,10.0,1.0,3.0,2.0,10.0,0.5,0.0,100.0
85,80.0,2.0,10.0,1.0,3.0,2.0,10.0,0.5,0.0,100.0
86,10.0,10.0,10.0,1.0,3.0,2.0,10.0,0.5,0.0,100.0
87,80.0,10.0,10.0,1.0,3.0,2.0,10.0,0.5,0.0,100.0
88,10.0,2.0,1.0,3.0,3.0,2.0,10.0,0.5,0.0,100.0
89,80.0,2.0,1.0,3.0,3.0,2.0,10.0,0.5,0.0,100.0
90,10.0,10.0,1.0,3.0,3.0,2.0,10.0,0.5,0.0,100.0
91,80.0,10.0,1.0,3.0,3.0,2.0,10.0,0.5,0.0,100.0
92,10.0,2.0,10.0,3.0,3.0,2.0,10.0,0.5,0.0,100.0
93,80.0,2.0,10.0,3.0,3.0,2.0,10.0,0.5,0.0,100.0
94,10.0,10.0,10.0,3.0,3.0,2.0,10.0,0.5,0.0,100.0
95,80.0,10.0,10.0,3.0,3.0,2.0,10.0,0.5,0.0,100.0
96,10.0,2.0,1.0,1.0,1.0,10.0,10.0,0.5,0.0,100.0
97,80.0,2.0,1.0,1.0,1.0,10.0,10.0,0.5,0.0,100.0
98,10.0,10.0,1.0,1.0,1.0,10.0,10.0,0.5,0.0,100.0
99,80.0,10.0,1.0,1.0,1.0,10.0,10.0,0.5,0.0,100.0
100,10.0,2.0,10.0,1.0,1.0,10.0,10.0,0.5,0.0,100.0
101,80.0,2.0,10.0,1.0,1.0,10.0,10.0,0.5,0.0,100.0
102,10.0,10.0,10.0,1.0,1.0,10.0,10.0,0.5,0.0,100.0
103,80.0,10.0,10.0,1.0,1.0,10.0,10.0,0.5,0.0,100.0
104,10.0,2.0,1.0,3.0,1.0,10.0,10.0,0.5,0.0,100.0
105,80.0,2.0,1.0,3.0,1.0,10.0,10.0,0.5,0.0,100.0
106,10.0,10.0,1.0,3.0,1.0,10.0,10.0,0.5,0.0,100.0
107,80.0,10.0,1.0,3.0,1.0,10.0,10.0,0.5,0.0,100.0
108,10.0,2.0,10.0,3.0,1.0,10.0,10.0,0.5,0.0,100.0
109,80.0,2.0,10.0,3.0,1.0,10.0,10.0,0.5,0.0,100.0
110,10.0,10.0,10.0,3.0,1.0,10.0,10.0,0.5,0.0,100.0
111,80.0,10.0,10.0,3.0,1.0,10.0,10.0,0.5,0.0,100.0
112,10.0,2.0,1.0,1.0,3.0,10.0,10.0,0.5,0.0,100.0
113,80.0,2.0,1.0,1.0,3.0,10.0,10.0,0.5,0.0,100.0
114,10.0,10.0,1.0,1.0,3.0,10.0,10.0,0.5,0.0,100.0
115,80.0,10.0,1.0,1.0,3.0,10.0,10.0,0.5,0.0,100.0
116,10.0,2.0,10.0,1.0,3.0,10.0,10.0,0.5,0.0,100.0
117,80.0,2.0,10.0,1.0,3.0,10.0,10.0,0.5,0.0,100.0
118,10.0,10.0,10.0,1.0,3.0,10.0,10.0,0.5,0.0,100.0
119,80.0,10.0,10.0,1.0,3.0,10.0,10.0,0.5,0.0,100.0
120,10.0,2.0,1.0,3.0,3.0,10.0,10.0,0.5,0.0,100.0
121,80.0,2.0,1.0,3.0,3.0,10.0,10.0,0.5,0.0,100.0
122,10.0,10.0,1.0,3.0,3.0,10.0,10.0,0.5,0.0,100.0
123,80.0,10.0,1.0,3.0,3.0,10.0,10.0,0.5,0.0,100.0
124,10.0,2.0,10.0,3.0,3.0,10.0,10.0,0.5,0.0,100.0
125,80.0,2.0,10.0,3.0,3.0,10.0,10.0,0.5,0.0,100.0
126,10.0,10.0,10.0,3.0,3.0,10.0,10.0,0.5,0.0,100.0
127,80.0,10.0,10.0,3.0,3.0,10.0,10.0,0.5,0.0,100.0
128,10.0,2.0,1.0,1.0,1.0,2.0,1.0,0.95,0.0,100.0
129,80.0,2.0,1.0,1.0,1.0,2.0,1.0,0.95,0.0,100.0
130,10.0,10.0,1.0,1.0,1.0,2.0,1.0,0.95,0.0,100.0
131,80.0,10.0,1.0,1.0,1.0,2.0,1.0,0.95,0.0,100.0
132,10.0,2.0,10.0,1.0,1.0,2.0,1.0,0.95,0.0,100.0
133,80.0,2.0,10.0,1.0,1.0,2.0,1.0,0.95,0.0,100.0
134,10.0,10.0,10.0,1.0,1.0,2.0,1.0,0.95,0.0,100.0
135,80.0,10.0,10.0,1.0,1.0,2.0,1.0,0.95,0.0,100.0
136,10.0,2.0,1.0,3.0,1.0,2.0,1.0,0.95,0.0,100.0
137,80.0,2.0,1.0,3.0,1.0,2.0,1.0,0.95,0.0,100.0
138,10.0,10.0,1.0,3.0,1.0,2.0,1.0,0.95,0.0,100.0
139,80.0,10.0,1.0,3.0,1.0,2.0,1.0,0.95,0.0,100.0
140,10.0,2.0,10.0,3.0,1.0,2.0,1.0,0.95,0.0,100.0
141,80.0,2.0,10.0,3.0,1.0,2.0,1.0,0.95,0.0,100.0
142,10.0,10.0,10.0,3.0,1.0,2.0,1.0,0.95,0.0,100.0
143,80.0,10.0,10.0,3.0,1.0,2.0,1.0,0.95,0.0,100.0
144,10.0,2.0,1.0,1.0,3.0,2.0,1.0,0.95,0.0,100.0
145,80.0,2.0,1.0,1.0,3.0,2.0,1.0,0.95,0.0,100.0
146,10.0,10.0,1.0,1.0,3.0,2.0,1.0,0.95,0.0,100.0
147,80.0,10.0,1.0,1.0,3.0,2.0,1.0,0.95,0.0,100.0
148,10.0,2.0,10.0,1.0,3.0,2.0,1.0,0.95,0.0,100.0
149,80.0,2.0,10.0,1.0,3.0,2.0,1.0,0.95,0.0,100.0
150,10.0,10.0,10.0,1.0,3.0,2.0,1.0,0.95,0.0,100.0
151,80.0,10.0,10.0,1.0,3.0,2.0,1.0,0.95,0.0,100.0
152,10.0,2.0,1.0,3.0,3.0,2.0,1.0,0.95,0.0,100.0
153,80.0,2.0,1.0,3.0,3.0,2.0,1.0,0.95,0.0,100.0
154,10.0,10.0,1.0,3.0,3.0,2.0,1.0,0.95,0.0,100.0
155,80.0,10.0,1.0,3.0,3.0,2.0,1.0,0.95,0.0,100.0
156,10.0,2.0,10.0,3.0,3.0,2.0,1.0,0.95,0.0,100.0
157,80.0,2.0,10.0,3.0,3.0,2.0,1.0,0.95,0.0,100.0
158,10.0,10.0,10.0,3.0,3.0,2.0,1.0,0.95,0.0,100.0
159,80.0,10.0,10.0,3.0,3.0,2.0,1.0,0.95,0.0,100.0
160,10.0,2.0,1.0,1.0,1.0,10.0,1.0,0.95,0.0,100.0
161,80.0,2.0,1.0,1.0,1.0,10.0,1.0,0.95,0.0,100.0
162,10.0,10.0,1.0,1.0,1.0,10.0,1.0,0.95,0.0,100.0
163,80.0,10.0,1.0,1.0,1.0,10.0,1.0,0.95,0.0,100.0
164,10.0,2.0,10.0,1.0,1.0,10.0,1.0,0.95,0.0,100.0
165,80.0,2.0,10.0,1.0,1.0,10.0,1.0,0.95,0.0,100.0
166,10.0,10.0,10.0,1.0,1.0,10.0,1.0,0.95,0.0,100.0
167,80.0,10.0,10.0,1.0,1.0,10.0,1.0,0.95,0.0,100.0
168,10.0,2.0,1.0,3.0,1.0,10.0,1.0,0.95,0.0,100.0
169,80.0,2.0,1.0,3.0,1.0,10.0,1.0,0.95,0.0,100.0
170,10.0,10.0,1.0,3.0,1.0,10.0,1.0,0.95,0.0,100.0
171,80.0,10.0,1.0,3.0,1.0,10.0,1.0,0.95,0.0,100.0
172,10.0,2.0,10.0,3.0,1.0,10.0,1.0,0.95,0.0,100.0
173,80.0,2.0,10.0,3.0,1.0,10.0,1.0,0.95,0.0,100.0
174,10.0,10.0,10.0,3.0,1.0,10.0,1.0,0.95,0.0,100.0
175,80.0,10.0,10.0,3.0,1.0,10.0,1.0,0.95,0.0,100.0
176,10.0,2.0,1.0,1.0,3.0,10.0,1.0,0.95,0.0,100.0
177,80.0,2.0,1.0,1.0,3.0,10.0,1.0,0.95,0.0,100.0
178,10.0,10.0,1.0,1.0,3.0,10.0,1.0,0.95,0.0,100.0
179,80.0,10.0,1.0,1.0,3.0,10.0,1.0,0.95,0.0,100.0
180,10.0,2.0,10.0,1.0,3.0,10.0,1.0,0.95,0.0,100.0
181,80.0,2.0,10.0,1.0,3.0,10.0,1.0,0.95,0.0,100.0
182,10.0,10.0,10.0,1.0,3.0,10.0,1.0,0.95,0.0,100.0
183,80.0,10.0,10.0,1.0,3.0,10.0,1.0,0.95,0.0,100.0
184,10.0,2.0,1.0,3.0,3.0,10.0,1.0,0.95,0.0,100.0
185,80.0,2.0,1.0,3.0,3.0,10.0,1.0,0.95,0.0,100.0
186,10.0,10.0,1.0,3.0,3.0,10.0,1.0,0.95,0.0,100.0
187,80.0,10.0,1.0,3.0,3.0,10.0,1.0,0.95,0.0,100.0
188,10.0,2.0,10.0,3.0,3.0,10.0,1.0,0.95,0.0,100.0
189,80.0,2.0,10.0,3.0,3.0,10.0,1.0,0.95,0.0,100.0
190,10.0,10.0,10.0,3.0,3.0,10.0,1.0,0.95,0.0,100.0
191,80.0,10.0,10.0,3.0,3.0,10.0,1.0,0.95,0.0,100.0
192,10.0,2.0,1.0,1.0,1.0,2.0,10.0,0.95,0.0,100.0
193,80.0,2.0,1.0,1.0,1.0,2.0,10.0,0.95,0.0,100.0
194,10.0,10.0,1.0,1.0,1.0,2.0,10.0,0.95,0.0,100.0
195,80.0,10.0,1.0,1.0,1.0,2.0,10.0,0.95,0.0,100.0
196,10.0,2.0,10.0,1.0,1.0,2.0,10.0,0.95,0.0,100.0
197,80.0,2.0,10.0,1.0,1.0,2.0,10.0,0.95,0.0,100.0
198,10.0,10.0,10.0,1.0,1.0,2.0,10.0,0.95,0.0,100.0
199,80.0,10.0,10.0,1.0,1.0,2.0,10.0,0.95,0.0,100.0
200,10.0,2.0,1.0,3.0,1.0,2.0,10.0,0.95,0.0,100.0
201,80.0,2.0,1.0,3.0,1.0,2.0,10.0,0.95,0.0,100.0
202,10.0,10.0,1.0,3.0,1.0,2.0,10.0,0.95,0.0,100.0
203,80.0,10.0,1.0,3.0,1.0,2.0,10.0,0.95,0.0,100.0
204,10.0,2.0,10.0,3.0,1.0,2.0,10.0,0.95,0.0,100.0
205,80.0,2.0,10.0,3.0,1.0,2.0,10.0,0.95,0.0,100.0
206,10.0,10.0,10.0,3.0,1.0,2.0,10.0,0.95,0.0,100.0
207,80.0,10.0,10.0,3.0,1.0,2.0,10.0,0.95,0.0,100.0
208,10.0,2.0,1.0,1.0,3.0,2.0,10.0,0.95,0.0,100.0
209,80.0,2.0,1.0,1.0,3.0,2.0,10.0,0.95,0.0,100.0
210,10.0,10.0,1.0,1.0,3.0,2.0,10.0,0.95,0.0,100.0
211,80.0,10.0,1.0,1.0,3.0,2.0,10.0,0.95,0.0,100.0
212,10.0,2.0,10.0,1.0,3.0,2.0,10.0,0.95,0.0,100.0
213,80.0,2.0,10.0,1.0,3.0,2.0,10.0,0.95,0.0,100.0
214,10.0,10.0,10.0,1.0,3.0,2.0,10.0,0.95,0.0,100.0
215,80.0,10.0,10.0,1.0,3.0,2.0,10.0,0.95,0.0,100.0
216,10.0,2.0,1.0,3.0,3.0,2.0,10.0,0.95,0.0,100.0
217,80.0,2.0,1.0,3.0,3.0,2.0,10.0,0.95,0.0,100.0
218,10.0,10.0,1.0,3.0,3.0,2.0,10.0,0.95,0.0,100.0
219,80.0,10.0,1.0,3.0,3.0,2.0,10.0,0.95,0.0,100.0
220,10.0,2.0,10.0,3.0,3.0,2.0,10.0,0.95,0.0,100.0
221,80.0,2.0,10.0,3.0,3.0,2.0,10.0,0.95,0.0,100.0
222,10.0,10.0,10.0,3.0,3.0,2.0,10.0,0.95,0.0,100.0
223,80.0,10.0,10.0,3.0,3.0,2.0,10.0,0.95,0.0,100.0
224,10.0,2.0,1.0,1.0,1.0,10.0,10.0,0.95,0.0,100.0
225,80.0,2.0,1.0,1.0,1.0,10.0,10.0,0.95,0.0,100.0
226,10.0,10.0,1.0,1.0,1.0,10.0,10.0,0.95,0.0,100.0
227,80.0,10.0,1.0,1.0,1.0,10.0,10.0,0.95,0.0,100.0
228,10.0,2.0,10.0,1.0,1.0,10.0,10.0,0.95,0.0,100.0
229,80.0,2.0,10.0,1.0,1.0,10.0,10.0,0.95,0.0,100.0
230,10.0,10.0,10.0,1.0,1.0,10.0,10.0,0.95,0.0,100.0
231,80.0,10.0,10.0,1.0,1.0,10.0,10.0,0.95,0.0,100.0
232,10.0,2.0,1.0,3.0,1.0,10.0,10.0,0.95,0.0,100.0
233,80.0,2.0,1.0,3.0,1.0,10.0,10.0,0.95,0.0,100.0
234,10.0,10.0,1.0,3.0,1.0,10.0,10.0,0.95,0.0,100.0
235,80.0,10.0,1.0,3.0,1.0,10.0,10.0,0.95,0.0,100.0
236,10.0,2.0,10.0,3.0,1.0,10.0,10.0,0.95,0.0,100.0
237,80.0,2.0,10.0,3.0,1.0,10.0,10.0,0.95,0.0,100.0
238,10.0,10.0,10.0,3.0,1.0,10.0,10.0,0.95,0.0,100.0
239,80.0,10.0,10.0,3.0,1.0,10.0,10.0,0.95,0.0,100.0
240,10.0,2.0,1.0,1.0,3.0,10.0,10.0,0.95,0.0,100.0
241,80.0,2.0,1.0,1.0,3.0,10.0,10.0,0.95,0.0,100.0
242,10.0,10.0,1.0,1.0,3.0,10.0,10.0,0.95,0.0,100.0
243,80.0,10.0,1.0,1.0,3.0,10.0,10.0,0.95,0.0,100.0
244,10.0,2.0,10.0,1.0,3.0,10.0,10.0,0.95,0.0,100.0
245,80.0,2.0,10.0,1.0,3.0,10.0,10.0,0.95,0.0,100.0
246,10.0,10.0,10.0,1.0,3.0,10.0,10.0,0.95,0.0,100.0
247,80.0,10.0,10.0,1.0,3.0,10.0,10.0,0.95,0.0,100.0
248,10.0,2.0,1.0,3.0,3.0,10.0,10.0,0.95,0.0,100.0
249,80.0,2.0,1.0,3.0,3.0,10.0,10.0,0.95,0.0,100.0
250,10.0,10.0,1.0,3.0,3.0,10.0,10.0,0.95,0.0,100.0
251,80.0,10.0,1.0,3.0,3.0,10.0,10.0,0.95,0.0,100.0
252,10.0,2.0,10.0,3.0,3.0,10.0,10.0,0.95,0.0,100.0
253,80.0,2.0,10.0,3.0,3.0,10.0,10.0,0.95,0.0,100.0
254,10.0,10.0,10.0,3.0,3.0,10.0,10.0,0.95,0.0,100.0
255,80.0,10.0,10.0,3.0,3.0,10.0,10.0,0.95,0.0,100.0
256,10.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,100.0
257,80.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,100.0
258,10.0,10.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,100.0
259,80.0,10.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,100.0
260,10.0,2.0,10.0,1.0,1.0,2.0,1.0,0.5,0.5,100.0
261,80.0,2.0,10.0,1.0,1.0,2.0,1.0,0.5,0.5,100.0
262,10.0,10.0,10.0,1.0,1.0,2.0,1.0,0.5,0.5,100.0
263,80.0,10.0,10.0,1.0,1.0,2.0,1.0,0.5,0.5,100.0
